"Z" "Zr" "d" "ConcConst" "CM.gw" "c" "alpha" "lambda" "meanM" "sdM" "meanSmM" "sdSmM" "meanP" "sdP" "meanCM" "sdCM" "minCM" "maxCM" "cum_flux" "Pzero"
"204" 532.390148262493 362.397267570076 0.0758271824434528 8.09289287310094 12.7515965024941 7.28188649169169 0.90539739949163 0.317647965555079 NA NA NA NA NA NA NA NA NA NA NA NA
"296" 1222.7716104826 358.830967181687 0.070526355514219 10.9500928607304 8.14064630772918 9.00627644790802 1.41377293614205 0.28583509454038 NA NA NA NA NA NA NA NA NA NA NA NA
"341" 681.495073135011 318.329556713619 0.095600488422596 9.82109983451664 0.0789619248826057 9.71367362362798 1.23139909047168 0.428333958890289 NA NA NA NA NA NA NA NA NA NA NA NA
"517" 593.761093332432 289.672988463906 0.0749711430805025 4.51830265461467 14.6143850020599 7.80648836574983 1.27547381704208 0.60020594142843 NA NA NA NA NA NA NA NA NA NA NA NA
"604" 1019.8351041181 380.542786891405 0.0707947714404794 7.34611229156144 5.11261100764386 8.09232098166831 1.24118381200824 0.51234882036224 NA NA NA NA NA NA NA NA NA NA NA NA
"709" 510.18659688998 527.346047456883 0.118664108847742 13.4131585783325 5.4531571129337 9.90587796084583 0.921715561836027 0.322051758388989 NA NA NA NA NA NA NA NA NA NA NA NA
"737" 754.768487415276 404.058783012732 0.121448959358371 3.93946603406221 9.64497973560356 9.96634975308552 1.19534582344349 0.679998859856278 NA NA NA NA NA NA NA NA NA NA NA NA
"785" 770.978672080673 382.251604011008 0.108426571611733 5.89843890513293 10.3023244533688 9.50521878257859 1.45510246264748 0.575302508939058 NA NA NA NA NA NA NA NA NA NA NA NA
"875" 794.009798089974 346.327509932973 0.081697037530009 12.8242986893747 12.5568072230089 8.73628016677685 1.4518697457388 0.981169689912349 NA NA NA NA NA NA NA NA NA NA NA NA
"954" 632.897352450527 354.583832291832 0.0820964287679442 12.4862453585956 10.9085280122235 8.7833744607633 0.712758727557957 0.782348914910108 NA NA NA NA NA NA NA NA NA NA NA NA
"1083" 640.548533760011 433.63002322747 0.0872055840718381 10.6827537878416 7.43046188028529 8.58008317416534 0.934548541624099 0.899857378238812 NA NA NA NA NA NA NA NA NA NA NA NA
"1760" 6741.37173581403 363.493280820821 0.0452355109624977 3.72265274170786 4.22948271618225 9.74770464468747 1.32534265823197 0.88264222422149 NA NA NA NA NA NA NA NA NA NA NA NA
"1997" 626.676191925071 377.517686732632 0.0881211719131101 8.24519915389828 6.99751778156497 7.69177746667992 1.08005768142175 0.97561220144853 NA NA NA NA NA NA NA NA NA NA NA NA
"2014" 509.378453716636 346.653607047792 0.110704905144101 4.01236498611979 7.37588298157789 9.19722647347953 0.678755087731406 0.747591593419202 NA NA NA NA NA NA NA NA NA NA NA NA
"2091" 832.883423892781 373.751691809381 0.0710269736685674 12.9520838381723 8.44174764119089 8.56464606069494 1.33133895567153 0.545019340910949 NA NA NA NA NA NA NA NA NA NA NA NA
"2208" 1372.85248807166 566.654885572089 0.0597045246597551 8.98623571149074 8.51135684293695 7.21355581830721 1.37605263618752 0.692156554129906 NA NA NA NA NA NA NA NA NA NA NA NA
"2390" 516.439046827145 473.667868190761 0.102081382611883 8.27080281218514 12.5314957543742 9.76853149652015 1.00865171102341 0.245676765916869 NA NA NA NA NA NA NA NA NA NA NA NA
"2518" 1059.27983578295 325.816524976273 0.0835099777468681 11.6063566901721 11.7558494978584 9.80320568720344 0.861171589116566 0.94366013049148 NA NA NA NA NA NA NA NA NA NA NA NA
"2637" 1041.74057219643 500.892645927444 0.0522803941123914 0.925564983626828 1.49237256729975 7.70399940607604 1.35697609910276 0.716611242154613 NA NA NA NA NA NA NA NA NA NA NA NA
"2921" 613.28380391933 490.479319163969 0.0499298405101793 2.08978953422047 7.59344153339043 3.8625086034881 1.12030978635885 0.806950353295542 NA NA NA NA NA NA NA NA NA NA NA NA
"3242" 534.940056153573 470.608433372937 0.0826045580506897 13.1322501017712 5.80286587122828 6.91934757167473 0.772862376691773 0.932819655654021 NA NA NA NA NA NA NA NA NA NA NA NA
"3341" 2525.89578984771 354.088531674518 0.059071227247732 8.84911269997247 2.43675917037763 7.50112202658784 1.47841908142436 0.965487086004578 NA NA NA NA NA NA NA NA NA NA NA NA
"3404" 1086.23052132316 327.948761141172 0.0638617866222744 3.75668191350996 6.4235927502159 9.64946965454146 1.32168120634742 0.297869362565689 NA NA NA NA NA NA NA NA NA NA NA NA
"3923" 679.137778934091 466.793434588633 0.0974653318200095 4.49793483596295 13.9348600327503 9.34983439976349 1.2054619880626 0.768078794120811 NA NA NA NA NA NA NA NA NA NA NA NA
"4260" 538.441601442173 361.040999454849 0.0715659915595792 4.20460648136213 10.4935101396404 9.96115429152269 1.01517751927022 0.139161577634513 NA NA NA NA NA NA NA NA NA NA NA NA
"4399" 868.092720280401 459.679084346327 0.0731035144816735 10.7216414355207 8.89687630464323 8.30319777363911 1.44558462656569 0.718918016715907 NA NA NA NA NA NA NA NA NA NA NA NA
"4497" 894.312068354338 368.482261941522 0.100667449921362 3.62985514104366 2.66905426047742 8.70818080380559 1.48463124870323 0.577333167055622 NA NA NA NA NA NA NA NA NA NA NA NA
"4615" 708.005103515461 461.788018357955 0.0802958902320706 11.0732867731713 3.82466091890819 8.35745567688718 1.23132043238729 0.346871363255195 NA NA NA NA NA NA NA NA NA NA NA NA
"4692" 633.096446981654 501.275585928905 0.110230329005136 3.35519551648758 6.3316632702481 7.12802986963652 1.319548926875 0.741524062794633 NA NA NA NA NA NA NA NA NA NA NA NA
"4954" 3259.33140516281 408.277002390025 0.0274037975560133 1.0102677019313 6.24490924878046 9.04652065772098 1.15606279098429 0.773401420819573 NA NA NA NA NA NA NA NA NA NA NA NA
"NA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"NA1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
